Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
27/02/2023,2022,Guimaraes,Sp Braga,3.75,3.5,1.91,2.0,1.0,H,2,1,3,2,0,0,64,18,2,1,4,7,0,1,64,18
27/02/2023,2022,Sp Lisbon,Estoril,1.22,6.5,10.0,2.0,0.0,H,2,1,8,3,1,0,80,0,0,3,0,4,0,1,80,0
26/02/2023,2022,Porto,Gil Vicente,1.18,6.5,11.0,1.0,2.0,A,3,0,7,1,2,0,90,0,2,1,5,3,1,0,90,0
26/02/2023,2022,Pacos Ferreira,Boavista,2.55,3.0,2.88,1.0,3.0,A,1,2,3,5,0,1,9,18,0,2,4,7,0,1,9,18
26/02/2023,2022,Rio Ave,Chaves,2.1,3.25,3.25,1.0,0.0,H,1,2,2,2,1,0,50,10,0,1,2,3,0,0,50,10
25/02/2023,2022,Vizela,Benfica,7.5,4.75,1.36,0.0,2.0,A,2,0,6,1,2,0,40,20,3,0,8,0,3,0,40,20
25/02/2023,2022,Maritimo,Santa Clara,2.1,2.9,3.6,3.0,1.0,H,1,2,2,4,0,1,20,20,0,2,1,3,0,0,20,20
25/02/2023,2022,Arouca,Casa Pia,2.25,3.1,3.2,2.0,0.0,H,2,1,5,3,1,1,55,9,0,2,0,5,0,2,55,9
24/02/2023,2022,Famalicao,Portimonense,1.8,3.25,4.5,1.0,0.0,H,1,1,1,1,0,0,50,10,0,3,2,9,0,2,50,10
20/02/2023,2022,Benfica,Boavista,1.18,7.5,12.0,3.0,1.0,H,2,0,6,2,1,0,90,10,0,2,3,5,0,0,90,10
20/02/2023,2022,Chaves,Sp Lisbon,6.5,4.75,1.44,2.0,3.0,A,1,1,3,4,0,1,22,56,1,1,3,3,0,0,22,56
19/02/2023,2022,Casa Pia,Guimaraes,2.45,3.1,3.0,0.0,0.0,D,1,1,3,4,0,1,40,20,1,2,2,5,0,1,40,20
19/02/2023,2022,Sp Braga,Arouca,1.44,4.75,7.0,2.0,0.0,H,3,0,8,1,2,0,67,11,0,1,3,7,0,1,67,11
19/02/2023,2022,Santa Clara,Famalicao,2.88,3.25,2.45,1.0,3.0,A,0,2,2,9,0,2,20,40,1,2,4,8,1,2,20,40
18/02/2023,2022,Porto,Rio Ave,1.17,7.0,15.0,1.0,0.0,H,3,0,11,2,3,0,89,0,0,1,1,3,0,1,89,0
18/02/2023,2022,Portimonense,Maritimo,2.2,3.2,3.4,2.0,1.0,H,1,1,2,2,0,0,40,20,0,2,2,6,0,1,40,20
18/02/2023,2022,Estoril,Pacos Ferreira,2.0,3.3,3.8,1.0,3.0,A,2,1,4,2,1,0,33,22,1,2,1,4,0,1,33,22
17/02/2023,2022,Gil Vicente,Vizela,2.38,3.4,2.8,1.0,1.0,D,2,0,4,2,0,0,30,30,0,3,2,6,0,1,30,30
