Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
10/03/2023,2022,Cadiz,Getafe,2.5,2.88,3.3,2,2,D,3,0,5,0,2,0,33,42,0,2,2,4,0,0,33,42
06/03/2023,2022,Osasuna,Celta,2.8,3.0,2.8,0,0,D,1,2,1,3,0,1,55,0,1,1,5,5,0,0,55,0
05/03/2023,2022,Betis,Real Madrid,4.75,3.75,1.73,0,0,D,1,2,6,7,0,0,55,18,2,1,4,1,2,0,55,18
05/03/2023,2022,Vallecano,Ath Bilbao,2.9,3.1,2.6,0,0,D,1,1,3,3,1,1,45,27,1,2,2,3,0,0,45,27
05/03/2023,2022,Barcelona,Valencia,1.53,4.5,5.75,1,0,H,3,0,6,0,2,0,82,18,0,3,0,4,0,1,82,18
05/03/2023,2022,Valladolid,Espanol,2.5,3.2,2.88,2,1,H,1,1,1,1,0,0,45,18,2,1,4,4,0,1,45,18
04/03/2023,2022,Ath Madrid,Sevilla,1.67,3.6,5.25,6,1,H,2,0,5,1,1,0,45,27,0,2,2,6,0,1,45,27
04/03/2023,2022,Mallorca,Elche,1.7,3.4,5.75,0,1,A,3,0,6,2,1,0,55,18,0,2,1,8,0,2,55,18
04/03/2023,2022,Almeria,Villarreal,3.5,3.6,2.05,0,2,A,2,1,6,4,1,0,58,8,0,2,4,8,0,2,58,8
04/03/2023,2022,Getafe,Girona,2.75,3.0,2.8,3,2,H,1,1,2,2,0,0,25,33,1,2,3,5,0,1,25,33
03/03/2023,2022,Sociedad,Cadiz,1.5,3.9,7.5,0,0,D,1,1,4,3,1,0,45,27,0,3,1,7,0,2,45,27
27/02/2023,2022,Villarreal,Getafe,1.67,3.6,5.75,2,1,H,1,2,1,2,0,0,60,10,0,2,2,4,0,0,60,10
26/02/2023,2022,Sevilla,Osasuna,1.85,3.25,4.5,2,3,A,3,0,6,0,2,0,36,27,0,0,2,2,0,0,36,27
26/02/2023,2022,Almeria,Barcelona,7.0,4.75,1.44,1,0,H,1,1,6,5,1,0,55,9,3,0,4,1,0,0,55,9
26/02/2023,2022,Celta,Valladolid,1.7,3.75,5.25,3,0,H,1,1,2,2,0,0,27,36,1,2,2,5,0,1,27,36
26/02/2023,2022,Ath Bilbao,Girona,1.67,3.8,5.25,2,3,A,1,1,4,3,1,1,55,18,0,2,2,5,0,1,55,18
25/02/2023,2022,Valencia,Sociedad,3.1,3.1,2.5,1,0,H,0,2,3,5,0,0,36,18,2,0,5,2,1,0,36,18
25/02/2023,2022,Real Madrid,Ath Madrid,1.8,3.5,5.0,1,1,D,2,0,6,0,2,0,70,30,2,0,3,1,0,0,70,30
25/02/2023,2022,Cadiz,Vallecano,2.9,3.0,2.7,1,0,H,2,0,5,1,2,0,27,45,2,0,3,1,0,0,27,45
25/02/2023,2022,Espanol,Mallorca,2.5,2.9,3.2,2,1,H,1,1,4,4,0,0,18,36,0,3,0,5,0,2,18,36
24/02/2023,2022,Elche,Betis,3.5,3.3,2.1,2,3,A,1,1,4,3,1,0,9,27,2,1,4,3,0,0,9,27
20/02/2023,2022,Getafe,Valencia,2.75,3.0,2.8,1,0,H,0,2,2,4,0,0,18,36,0,3,0,4,0,1,18,36
19/02/2023,2022,Barcelona,Cadiz,1.18,7.0,13.0,2,0,H,2,0,5,1,1,0,80,20,1,2,2,5,0,1,80,20
19/02/2023,2022,Ath Madrid,Ath Bilbao,2.0,3.3,4.0,1,0,H,1,1,4,2,1,0,40,30,1,2,3,5,0,1,40,30
19/02/2023,2022,Vallecano,Sevilla,2.5,3.1,3.0,1,1,D,1,2,3,4,1,1,50,20,0,2,2,6,0,1,50,20
19/02/2023,2022,Elche,Espanol,2.9,3.1,2.63,0,1,A,1,1,4,3,1,0,10,30,1,1,4,5,0,1,10,30
18/02/2023,2022,Osasuna,Real Madrid,4.33,3.6,1.8,0,2,A,1,2,2,3,0,0,60,0,1,2,3,3,1,0,60,0
